intercept,block-mean,block-lin,derivative-1,derivative-2,derivative-3,derivative-4
1.0,-1.2229511589692663,0.06156937716381724,0.16681348404218654,0.6872170858113387,-0.23242387312088514,-0.10269534589707906
1.0,-1.2022676069151483,0.04240425483995559,0.12646878728270083,0.6651624268556824,-0.1733521185783103,-0.08109963076823642
1.0,-1.1871778975692129,0.02842231766157823,0.09248736868601024,0.6448623887727786,-0.12358292529572294,-0.059594114447049595
1.0,-1.1766182966853456,0.018637922693975163,0.0658643132286285,0.6283835721248596,-0.08458320187119109,-0.04144152126044434
1.0,-1.1694993057543066,0.012041554156363828,0.04618596689335743,0.6160429214306751,-0.05575264404347458,-0.027523535798509486
1.0,-1.1648588485121316,0.007741764137114115,0.03233382678701329,0.6073322236221056,-0.03545586015295036,-0.017541936747203515
1.0,-1.161925238978759,0.005023517995908634,0.022984442424174998,0.6014659338105862,-0.02175558497999303,-0.010741420108854864
1.0,-1.1601218632509673,0.0033525324549057273,0.016902719518222406,0.5976670865210033,-0.012843038395948692,-0.006298256650827163
1.0,-1.1586518711412432,0.0020336318006491556,0.028085298224534115,0.569944743413216,-0.026639817990320065,0.027040790393451856
1.0,-1.126679664896095,-0.024117699156652773,0.5141894766761006,-0.29340471993033707,-0.6547861006497929,1.0606447661656242
1.0,-0.9521545644511936,-0.16652629342860156,1.756082885971011,-2.0177497061381486,-2.2611105487924843,3.085526528850634
1.0,-0.5904171046240629,-0.4616324573181138,2.826468179630782,-2.285396485392568,-3.6474639045644848,3.281450237721103
1.0,-0.13056631131408636,-0.836754774912831,3.086681933786789,-0.7129444226685551,-3.98735876954827,1.2152423123099942
1.0,0.307825838025739,-1.1943722488155701,2.6583615226927666,1.227795242820167,-3.4365799348973893,-1.2905688560917674
1.0,0.6531084042104613,-1.4760357760652778,1.9422287250463113,2.3646053097598787,-2.5125107657285617,-2.7920215685215046
1.0,0.8887975405056798,-1.6682986933532395,1.2411226710962044,2.500303048468425,-1.6067455691859793,-3.043827063448781
1.0,1.0295733370772329,-1.7831362533605932,0.6833640631262463,1.993814633214738,-0.8855790868396239,-2.4846455638787517
1.0,1.0992553711061752,-1.8399792260811616,0.28438535629129136,1.2690420613057483,-0.36934316324231914,-1.635353399370493
1.0,1.1198148670859185,-1.856750591690836,0.017042976861825952,0.5992126482504528,-0.023191153693869624,-0.8342070706042973
1.0,1.1084872040950453,-1.8475100744276556,-0.150291388233035,0.09581926989409414,0.19364329530710886,-0.2223028250263886
